Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Mecocerculus poecilocercus,9.02,10.61,6.29,2.325,3.185,5.215,61.18,7.27,53.985,16.86,16.585,9.5
Mecocerculus stictopterus,11.3,10.967142857142857,7.425,2.7414285714285715,3.13125,6,60.64,8.25,60.55125,1.4325,17.516666666666666,10.01125
Megascops albogularis,150.8,23.874545454545455,16.985454545454544,13.035,6.9655555555555555,17.079,204.1818181818182,34.885,109.7825,6.339999999999999,32.64545454545455,12.75
Metallura iracunda,6.68,15.357,11.173,2.439,2,3.9274999999999998,61.291,39.133,43.695,-1.937,10.73,8.0325
Metallura tyrianthina,3.483306451612903,13.415114006514658,10.3421,1.6442857142857144,2.04003355704698,3.698921161825726,52.775145631067964,28.53176229508197,36.64483552631579,6.806205673758861,5.545172413793104,5.818705357142857
Metallura williami,4.277352941176471,17.44025,13.518863636363637,1.828888888888889,2.2109302325581397,3.8761290322580644,56.942093023255815,25.499736842105264,39.71763157894737,7.605833333333333,5.754827586206897,6.9709375
Mionectes striaticollis,12.97,13.5271875,9.8834375,3.52375,4.036666666666667,7.558421052631579,64.96878787878788,9.304848484848485,48.737575757575755,3.0565625000000005,16.5353125,11.855757575757575
Myioborus melanocephalus,11.464705882352941,11.676190476190476,8.558333333333334,3.3615,4.39,7.315,65.3695652173913,14.436,62.7196,13.125217391304348,19.7775,12.032916666666667
Myioborus ornatus,11.413333333333334,12.088396226415094,8.945192307692308,3.5331,4.436483516483516,6.952837837837838,67.57054545454545,10.132134831460673,64.60707547169811,16.911546391752577,19.775480769230768,11.047592592592594
Myiotheretes fumigatus,34.591,23.232222222222223,16.64888888888889,5.8052631578947365,7.517777777777778,11.881874999999999,105.48631578947368,20.715625,85.74941176470588,4.070666666666666,23.138947368421054,14.173684210526316
Myiothlypis coronata,16.733333333333334,14.192894736842105,10.404102564102564,4.231212121212121,4.320769230769231,7.652142857142858,69.87615384615384,9.36027027027027,59.97972222222222,6.996060606060606,22.747567567567568,14.802162162162162
Myiothlypis luteoviridis,14.182903225806452,12.52,9.726333333333333,3.722962962962963,4.286296296296296,8.0336,66.3740625,23.094444444444445,62.035,8.004782608695653,21.456333333333333,11.829310344827586
Myiothlypis nigrocristata,13.004166666666666,13.89465909090909,10.381931818181819,3.6881176470588235,4.365824175824176,6.955135135135135,61.803222222222225,9.234675324675326,59.72032967032967,17.007532467532467,23.581494252873565,12.732527472527472
Ochthoeca cinnamomeiventris,11.688275862068966,13.715,9.289803921568627,3.3830232558139537,4.924117647058823,7.5759375,63.43796296296296,9.502222222222223,49.99166666666667,6.065625,18.068636363636365,11.97076923076923
Ochthoeca diadema,10.90462962962963,12.635504587155964,8.610190476190477,3.341111111111111,4.255918367346939,7.006082474226804,60.60818181818182,10.89118811881188,50.17142857142857,7.926489361702128,18.759428571428572,11.813627450980393
Ochthoeca frontalis,10.906666666666666,12.016538461538461,8.360384615384616,3.1890697674418607,3.9725,7.241860465116279,62.81782608695652,9.260232558139535,53.19714285714286,11.818139534883718,19.917317073170732,11.37531914893617
Ochthoeca fumicolor,15.368425925925926,14.862923976608187,10.7312,3.6975147928994083,4.608108108108108,7.869078947368421,82.10366279069767,14.628195488721804,71.94754385964912,15.427808219178083,23.45186046511628,11.86203488372093
Ochthoeca rufipectoralis,11.726363636363637,13.2275,9.118157894736843,3.4982758620689656,4.021142857142857,7.03258064516129,67.87717948717949,12.239411764705883,61.41891891891892,7.955277777777778,19.042105263157893,10.826666666666666
Opisthoprora euryptera,6.479565217391304,15.983333333333334,11.231250000000001,2.1908695652173913,2.21625,3.676875,58.697916666666664,36.63,42.1775,-3.1733333333333333,6.068,7.218
