eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
7;0.5038;0.0643;0.1472;0.1126;0.1266;
8;23.2629;0.0232;4.5738;3.8145;3.9381;
9;0.0311;0.3121;0.0133;0.1867;0.0115;
10;0.0182;0.1869;0.0107;0.3104;0.0103;
11;0.0324;0.3877;0.0962;0.0877;0.169;
12;0.0282;0.2005;0.0072;0.0132;0;
13;0.0402;0.6751;0.4336;1.3848;0.0418;
14;0.0092;1.7644;0.5083;6.0334;0.0582;
15;0;0.269;0.0541;0.2571;0.079;
16;0.0849;0.0107;0.5517;0.0061;2.9287;
17;0.0072;0.2835;0.0165;0.281;0.0268;
18;1e-04;0.1365;0.0403;0.0145;0.004;
19;10.5199;0.0441;4.7324;0.7566;6.3472;
20;0.1862;0.1167;0.0741;0.1369;0.0615;
21;0.2241;1.1347;0.3776;0.0663;0.2358;
22;0.7141;0.2524;0.2076;0.2863;8.3359;
23;6.3722;0.2617;9.762;0.1599;0.002;
24;0.9008;0.0794;0.2528;0.6133;0.0066;
25;1.018;0.0056;0.0951;0.726;0.8137;
26;4.5259;0.0011;0.2233;0.1249;0.5658;
27;0.0949;0.6658;0.0512;0.8275;0.749;
28;0.1863;0.0363;0.0103;0.0037;0.0948;
29;0.0346;0.4985;0.0387;0.1178;0.1985;
30;0.1379;0.1624;0.0603;0.6374;0.1023;
31;0.1406;0.2049;0.1035;0.3016;0.0247;
32;0.066;0.2005;0.0173;0.2748;0.3823;
33;0.0098;0.0154;0.44;0.1789;2e-04;
34;0.2821;0.0015;8e-04;1.0471;0.0538;
35;0.3012;0.2201;0.1676;0.3442;0.1815;
36;0.2062;0.0854;0.0485;0.5974;0.0373;
37;0.0221;0.3212;0.1327;0.0127;0.0586;
38;0.0565;0.1099;0.0412;0.4013;0.0128;
39;0.6978;0.2747;12.5198;0.0564;0.0654;
40;0.1204;0.1;3e-04;0.0556;0.3879;
41;0.0227;0.201;0.2521;0.011;0.0796;
42;0.0042;0.1329;0.0819;0.0782;0.0772;
43;0.2035;0.0669;0.3817;0.0017;0.047;
44;0.3092;0.0432;0.3209;0.0281;0.0022;
45;0.2493;0.3296;0.0404;0.4193;0.0346;
46;0.0186;0.0608;0.005;0.1447;0.3499;
47;0.1022;2.7363;0.0152;0.1218;0.1478;
48;0.1566;2.8258;0.0335;0.0398;0.1702;
49;0.0913;2.227;0.0023;0.2966;0.146;
50;0.0782;2.4819;0.0127;0.4264;0.0953;
51;0.0745;2.9336;7e-04;0.3035;0.1024;
52;0.0611;2.8525;0.0034;0.2749;0.0667;
53;1.1682;3e-04;0.0028;0.2533;0.0014;
54;0.1261;1.4124;0.0888;0.2994;0.296;
55;0.2583;0.8403;8e-04;0.2903;0.4871;
56;0.1918;0.0021;6e-04;0.1323;0.0647;
57;0.2216;0.0884;0.0471;0.004;0.0536;
58;0.2126;3e-04;0.0207;0.0285;0.0085;
59;0.8622;1.0182;0.0039;0.4333;0.0238;
60;2.5609;2.9424;0.0609;5.0203;2.6782;
61;0.9348;0.0799;0.0952;1.7759;0.0762;
62;1.047;0.0032;0.0149;0.6491;0.4081;
